employee_id,response_uuid,engagement_index,intend_to_stay,manager_support,growth_opportunities,recognition_score,workload_manageable,tools_and_systems,department,location_code,postal,comment_text,Q5_1,Q5_2,V11,survey_wave
900001,uuid-0001,5,3,4,5,1,3,4,Ops,ATL,80101,,4,5,1,Q2
900002,uuid-0002,6,4,5,1,2,4,5,Product,SFO,80102,,5,1,2,Q1
900003,uuid-0003,7,5,1,2,3,5,1,CS,DEN,80103,,1,2,3,Q2
900004,uuid-0004,8,1,2,3,4,1,2,Sales,ATL,80104,,2,3,4,Q1
900005,uuid-0005,9,2,3,4,5,2,3,Ops,SFO,80105,need better systems,3,4,5,Q2
900006,uuid-0006,10,3,4,5,1,3,4,Product,DEN,80106,,4,5,6,Q1
900007,uuid-0007,1,4,5,1,2,4,5,CS,ATL,80107,,5,1,7,Q2
900008,uuid-0008,2,5,1,2,3,5,1,Sales,SFO,80108,,1,2,8,Q1
900009,uuid-0009,3,1,2,3,4,1,2,Ops,DEN,80109,,2,3,9,Q2
900010,uuid-0010,4,2,3,4,5,2,3,Product,ATL,80110,need better systems,3,4,10,Q1
900011,uuid-0011,5,3,4,5,1,3,4,CS,SFO,80111,,4,5,0,Q2
900012,uuid-0012,6,4,5,1,2,4,5,Sales,DEN,80112,,5,1,1,Q1
900013,uuid-0013,7,5,1,2,3,5,1,Ops,ATL,80113,,1,2,2,Q2
900014,uuid-0014,8,1,2,3,4,1,2,Product,SFO,80114,,2,3,3,Q1
900015,uuid-0015,9,2,3,4,5,2,3,CS,DEN,80115,need better systems,3,4,4,Q2
900016,uuid-0016,10,3,4,5,1,3,4,Sales,ATL,80116,,4,5,5,Q1
900017,uuid-0017,1,4,5,1,2,4,5,Ops,SFO,80117,,5,1,6,Q2
900018,uuid-0018,2,5,1,2,3,5,1,Product,DEN,80118,,1,2,7,Q1
900019,uuid-0019,3,1,2,3,4,1,2,CS,ATL,80119,,2,3,8,Q2
900020,uuid-0020,4,2,3,4,5,2,3,Sales,SFO,80120,need better systems,3,4,9,Q1
900021,uuid-0021,5,3,4,5,1,3,4,Ops,DEN,80121,,4,5,10,Q2
900022,uuid-0022,6,4,5,1,2,4,5,Product,ATL,80122,,5,1,0,Q1
900023,uuid-0023,7,5,1,2,3,5,1,CS,SFO,80123,,1,2,1,Q2
900024,uuid-0024,8,1,2,3,4,1,2,Sales,DEN,80124,,2,3,2,Q1
900025,uuid-0025,9,2,3,4,5,2,3,Ops,ATL,80125,need better systems,3,4,3,Q2
900026,uuid-0026,10,3,4,5,1,3,4,Product,SFO,80126,,4,5,4,Q1
900027,uuid-0027,1,4,5,1,2,4,5,CS,DEN,80127,,5,1,5,Q2
900028,uuid-0028,2,5,1,2,3,5,1,Sales,ATL,80128,,1,2,6,Q1
900029,uuid-0029,3,1,2,3,4,1,2,Ops,SFO,80129,,2,3,7,Q2
